Date,TSLA_d-1,TSLA_d-2,TSLA_d-3,TSLA_d-4,d-1_perP,d-1_app,d-1_apn,d-1_sentiment,d-2_anp,d-3_anp,d-4_anp,d-5_anp,d-6_anp,d-7_anp,d-8_anp
2015-05-05,4.479996,-0.02000399999994329,-6.399994000000049,1.9700010000000248,0.4786324786324786,-41.60546536975578,-38.158072933383224,0.0,-40.76058607706711,-41.79310679110179,-33.497398317040876,-40.348757996627214,-47.70726321142384,-24.62024653922202,-33.58749785111498
2015-05-06,2.4400019999999927,4.479996,-0.02000399999994329,-6.399994000000049,0.5339805825242718,-30.68883977714167,-35.23635187965908,1.0,-38.158072933383224,-40.76058607706711,-41.79310679110179,-33.497398317040876,-40.348757996627214,-47.70726321142384,-24.62024653922202
2015-05-07,-2.520004,2.4400019999999927,4.479996,-0.02000399999994329,0.5212765957446809,-39.82388137340159,-43.31444220727314,1.0,-35.23635187965908,-38.158072933383224,-40.76058607706711,-41.79310679110179,-33.497398317040876,-40.348757996627214,-47.70726321142384
2015-05-08,6.370009999999951,-2.520004,2.4400019999999927,4.479996,0.4262295081967213,-43.10422409744895,-31.504624316670107,0.0,-43.31444220727314,-35.23635187965908,-38.158072933383224,-40.76058607706711,-41.79310679110179,-33.497398317040876,-40.348757996627214
2015-05-11,-0.19000199999999268,6.370009999999951,-2.520004,2.4400019999999927,0.5172413793103449,-33.09754612610511,-35.51316579475701,1.0,-27.23562038732369,-33.57111137292479,-31.504624316670107,-43.31444220727314,-35.23635187965908,-38.158072933383224,-40.76058607706711
2015-05-12,2.8800039999999854,-0.19000199999999268,6.370009999999951,-2.520004,0.3809523809523809,-51.18583817757989,-30.78504151486223,0.0,-35.51316579475701,-27.23562038732369,-33.57111137292479,-31.504624316670107,-43.31444220727314,-35.23635187965908,-38.158072933383224
2015-05-13,5.25,2.8800039999999854,-0.19000199999999268,6.370009999999951,0.4907407407407408,-40.97431089110328,-39.40107496353189,0.0,-30.78504151486223,-35.51316579475701,-27.23562038732369,-33.57111137292479,-31.504624316670107,-43.31444220727314,-35.23635187965908
2015-05-14,-1.5600119999999436,5.25,2.8800039999999854,-0.19000199999999268,0.4722222222222222,-42.36676558658072,-37.647558264669186,0.0,-39.40107496353189,-30.78504151486223,-35.51316579475701,-27.23562038732369,-33.57111137292479,-31.504624316670107,-43.31444220727314
2015-05-15,0.9200129999999832,-1.5600119999999436,5.25,2.8800039999999854,0.3882352941176471,-48.64589421785549,-30.44761729903193,0.0,-37.647558264669186,-39.40107496353189,-30.78504151486223,-35.51316579475701,-27.23562038732369,-33.57111137292479,-31.504624316670107
2015-05-18,4.7399899999999775,0.9200129999999832,-1.5600119999999436,5.25,0.43478260869565216,-48.85716481785744,-36.86998312605414,0.0,-37.8410268727146,-31.4853212897245,-30.44761729903193,-37.647558264669186,-39.40107496353189,-30.78504151486223,-35.51316579475701
