0.22766,0.66521
0.27647,0.29405
0.33026,0.59338
0.43302,0.45806
0.43938,0.3117
0.45648,0.55228
0.46096,0.60305
0.48643,0.52703
0.50461,0.46753
0.51026,0.47079
0.59101,0.8054
0.61056,0.62504
0.63203,0.56141
0.70782,0.53665
0.75213,0.68984
3.0963,3.6095
3.2955,3.3077
3.3615,2.86
3.4746,2.9312
3.5728,3.1953
3.6808,3.7351
3.7097,3.0553
3.7332,2.561
3.8655,2.8917
3.8506,4.2455
3.8622,3.4826
4.4217,2.8517
3.9064,3.4493
4.1656,4.4624
4.2661,3.5248
4.7408,3.7102
4.918,3.2258
4.9621,4.0602
5.0093,2.7496
0.9816,3.022
