1,all:my:faults,288
1,all_ends,229
1,babes_in_toyland,310
1,betty,135
1,betty_blowtorch,2137
1,bif_naked,134
1,blue_Öyster_cult,185
1,die_Ärzte,1099
1,disciple,154
1,dropkick_murphys,302
1,edguy,232
1,eluveitie,222
1,elvenking,717
1,girlschool,134
1,goldfrapp,361
1,guano_apes,151
1,horrorpops,358
1,jack_johnson,227
1,jack_off_jill,316
1,john_mayer,182
1,judas_priest,198
1,juliette_&_the_licks,706
1,l7,135
1,le_tigre,281
1,letzte_instanz,387
1,little_big_town,145
1,london_after_midnight,210
1,lunachicks,403
1,magica,545
1,maximum_the_hormone,231
1,melissa_etheridge,897
1,mutyumu,205
1,rasputina,220
1,red_hot_chili_peppers,691
1,rob_zombie,198
1,sandra_nasic,183
1,schandmaul,244
1,sleater-kinney,175
1,tanzwut,153
1,team_dresch,137
1,the_black_dahlia_murder,507
1,the_bosshoss,189
1,the_butchies,329
1,the_killers,208
1,the_murmurs,424
1,the_rolling_stones,150
1,the_wallflowers,131
1,the_who,168
1,walls_of_jericho,393
2,ai_aso,1232
2,animal_collective,1373
2,arcade_fire,1899
2,arctic_monkeys,4811
2,boris,5110
2,boris_with_merzbow,636
2,boris_with_michio_kurihara,1034
2,boys_noize,748
2,breathe_carolina,2259
2,bright_eyes,4283
2,broken_social_scene,6413
2,built_to_spill,731
2,cancer_bats,1703
2,coaltar_of_the_deepers,4143
2,coldplay,2658
2,death_cab_for_cutie,587
2,death_from_above_1979,3315
2,deerhoof,2369
2,digitalism,505
2,fear_before_the_march_of_flames,2362
2,hadouken!,1254
2,have_heart,5361
2,heavy_heavy_low_low,1323
2,hot_hot_heat,1312
2,jim_sturgess,2427
2,little_dragon,672
2,luminous_orange,5120
2,m.i.a.,589
2,mgmt,1468
2,michio_kurihara,1530
2,mstrkrft,2102
2,nujabes,707
2,okkervil_river,2641
2,owl_city,3147
2,patrick_wolf,564
2,polar_bear_club,4091
2,queen,1404
2,simian_mobile_disco,603
2,stars,8192
2,the_album_leaf,622
2,the_fiery_furnaces,543
2,the_honorary_title,1682
2,the_last_shadow_puppets,961
2,the_libertines,3916
2,the_microphones,606
2,the_most_serene_republic,12763
2,the_rocket_summer,691
2,the_secret_handshake,1384
2,the_strokes,1854
2,the_wombats,1244
2,uffie,977
3,16_horsepower,225
3,a_hawk_and_a_hacksaw,45
